method,time,t,x,cost,cost_reduction,cost_reduction_per_second,cost_reduction_per_step,preconditioning,constrained
l-bfgs-b,0.6190431118011475,137.35902562237712,77.98231961887221,0.018333399921721012,701.7692609432171,1133.635521605874,701.7692609432171,True,False
tnc,0.3713955879211426,419.05516160307485,81.66869297656947,2.3946415140589416e-06,701.7875919484973,1889.5959315960047,701.7875919484973,True,False
bfgs,0.289919376373291,119.58132039813592,77.1146197057735,98.88241655024662,602.9051777928922,2079.5615158077967,602.9051777928922,True,False
newton-cg,0.06500053405761719,121.41395627050353,79.7068549921268,6.208877006681288,695.5787173364575,10701.123112617643,695.5787173364575,True,False
bicg,0.3395347595214844,118.83179529344488,77.21514954119985,50.975993212253755,650.811601130885,1916.7745948841634,650.811601130885,True,False
bicgstab,0.3446013927459717,118.83400609505308,77.21514954068812,51.21026389486091,650.577330448278,1887.9126554426355,650.577330448278,True,False
gmres,3.5021252632141113,118.99237664351928,77.2151496027286,118.3019994068238,583.485594936315,166.6090019866437,583.485594936315,True,False
lgmres,5.453375577926636,119.13760805051517,77.21514839673313,345.03026283266746,356.7573315104714,65.41954178885106,356.7573315104714,True,False
qmr,0.3447756767272949,118.78654156351988,77.21514930979357,52.22338853743452,649.5642058057043,1884.0198124518108,649.5642058057043,True,False
minres,0.11499834060668945,118.81040332336615,77.21514955980095,44.716755951059994,657.0708383920788,5713.741910758119,657.0708383920788,True,False
gcrotmk,3.922187566757202,119.00660491133209,77.21514936203205,246.74872444204885,455.03886990109,116.01660097997515,455.03886990109,True,False
lm,39.510302782058716,454.5051549747894,82.14226754502215,3.8275739436498285e-23,701.7875943431388,17.7621416422507,701.7875943431388,True,False
hybr,11.860510349273682,249.4050595177364,83.36206465309064,0.7594758568508105,701.028118486288,59.10606692647234,701.028118486288,True,False
krylov,0.2392728328704834,118.78643070691845,77.21514930979356,91.07939475960276,610.708199583536,2552.350771531626,610.708199583536,True,False
cg,7.220535755157471,119.07680891142596,77.21514803416815,481.40735037912657,220.38024396401227,30.521314683138225,220.38024396401227,True,False
cgs,31.347980260849,118.8059252850079,77.21514922827564,621.9902381237512,79.79735621938767,2.545534211626638,79.79735621938767,True,False
trust-constr_cs,0.09926795959472656,119.89767314211159,82.27981423752271,20.774643882254228,681.0129504608846,6860.350038836319,681.0129504608846,True,False
trust-constr_2-point,0.18826794624328613,119.43858378921755,81.29143393210035,39.487386692702465,662.3002076504364,3517.859629671585,662.3002076504364,True,False
trust-constr_3-point,0.31526780128479004,119.43858371983745,81.29143375696944,39.48738892759299,662.3002054155459,2100.754351432394,662.3002054155459,True,False
trust-ncg_cs,0.14270997047424316,121.00482631879585,81.38570123758362,8.111355301543435,693.6762390415954,4860.741241389246,693.6762390415954,True,False
trust-ncg_2-point,0.2349231243133545,122.2579993049361,80.34320950305994,4.647201751284675,697.1403925918542,2967.5256304780223,697.1403925918542,True,False
trust-ncg_3-point,0.37192368507385254,122.25799920152308,80.34320950973905,4.647201954171059,697.1403923889678,1874.4178452913998,697.1403923889678,True,False
trust-krylov_cs,0.19078993797302246,121.00482631879585,81.38570123758362,8.111355301543433,693.6762390415954,3635.811439593217,693.6762390415954,True,False
