,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
17,0022,"(16.503168802512462, 50.543465678468735, 0)","(32, 64)",8.155168957013947e-14,-1,padded,False,"(1, 4)"
18,0102,"(27.503350466501615, 48.23338203036452, 0)","(32, 64)",0.004642858326380286,0,padded,False,"(1, 4)"
19,0111,"(30.897414199819192, 47.29573516216025, 0)","(32, 64)",7.300735477349912e-07,-1,padded,False,"(1, 4)"
20,0112,"(23.403644443488716, 50.53825632206052, 0)","(32, 64)",1.250798536971497e-12,-1,padded,False,"(1, 4)"
21,0121,"(24.323310046777436, 53.48181877907633, 0)","(32, 64)",5.646199674871944e-07,-1,padded,False,"(1, 4)"
22,0122,"(19.23846196943655, 56.24301568901611, 0)","(32, 64)",5.160126579253253e-08,-1,padded,False,"(1, 4)"
23,0211,"(19.153531832212856, 55.171269047558845, 0)","(32, 64)",8.73027258767741e-09,-1,padded,False,"(1, 4)"
24,0212,"(20.84450447480285, 58.367214856663175, 0)","(32, 64)",0.0866963538484163,0,padded,False,"(1, 4)"
25,0221,"(19.38525692522277, 56.49363063455428, 0)","(32, 64)",3.4902081725536195e-05,0,padded,False,"(1, 4)"
26,0222,"(16.032479390932398, 61.27476942735589, 0)","(32, 64)",6.038514632558147e-07,-1,padded,False,"(1, 4)"
27,1112,"(28.46528714489456, 57.584935997969886, 0)","(32, 64)",0.26442292175079707,0,padded,False,"(1, 4)"
28,1122,"(29.319289808788007, 62.384945533384396, 0)","(32, 64)",0.09128241197598441,0,padded,False,"(1, 4)"
29,1222,"(98.39792325482753, 68.76839861822312, 0)","(32, 128)",4.742563880732866e-10,-1,padded,False,"(1, 4)"
30,0_1,"(38.69892660459355, 11.8366359116217, 0)","(32, 32)",9.254639495510098e-07,-1,padded,False,"(2, 1)"
31,0_2,"(45.647624457324284, 12.414729164991703, 0)","(32, 32)",5.151184611233791e-07,-1,padded,False,"(2, 1)"
32,1_2,"(180.85149189685498, 17.599306603797526, 0)","(32, 32)",0.11439790230778564,0,padded,False,"(2, 1)"
33,00_01,"(46.0246455534516, 15.026438518075961, 0)","(32, 32)",3.6823066484811023e-11,-1,padded,False,"(2, 2)"
34,00_02,"(37.50713250650057, 18.408768643516378, 0)","(32, 32)",1.6116452154167395e-07,-1,padded,False,"(2, 2)"
35,00_12,"(80.71258965297969, 22.176423116211602, 0)","(32, 32)",0.2406805946635676,0,padded,False,"(2, 2)"
36,01_02,"(98.45769651994944, 19.672696432264207, 0)","(32, 32)",1.8002989993202917e-08,-1,padded,False,"(2, 2)"
37,01_11,"(42.241223997521494, 22.488347930996074, 0)","(32, 32)",0.04098414890955934,0,padded,False,"(2, 2)"
38,01_12,"(74.90344644354097, 24.853302962382806, 0)","(32, 32)",7.611654425541667e-07,-1,padded,False,"(2, 2)"
39,01_20,"(71.6836503205143, 22.96221975995086, 0)","(32, 32)",0.5795005279897367,0,padded,False,"(2, 2)"
40,01_21,"(52.00267094759476, 24.615319951720256, 0)","(32, 32)",2.982939633059509e-10,-1,padded,False,"(2, 2)"
41,01_22,"(78.83505077420797, 28.38032223797592, 0)","(32, 32)",0.06872928542082773,0,padded,False,"(2, 2)"
42,02_11,"(74.8319663636444, 27.425390407674005, 0)","(32, 32)",0.10318633001847682,0,padded,False,"(2, 2)"
43,02_12,"(64.86385308182828, 28.107018766607872, 0)","(32, 32)",0.054389922204625206,0,padded,False,"(2, 2)"
44,02_21,"(38.95584796000792, 27.26899606530146, 0)","(32, 32)",1.5110002656398838e-07,-1,padded,False,"(2, 2)"
45,02_22,"(65.30003084320865, 30.894120742892788, 0)","(32, 32)",0.0029820754613287636,0,padded,False,"(2, 2)"
46,11_12,"(97.06383058842768, 28.577955702043756, 0)","(32, 32)",0.10854405151497726,0,padded,False,"(2, 2)"
47,12_22,"(39.99070085629873, 33.69794510063664, 0)","(32, 64)",0.9312082582912449,0,padded,False,"(2, 2)"
48,000_001,"(110.56578347124669, 22.452876345086736, 0)","(32, 32)",0.41689790790894327,0,padded,False,"(2, 3)"
49,000_002,"(54.76728707651131, 24.550950035053017, 0)","(32, 32)",1.0315878689704677e-07,-1,padded,False,"(2, 3)"
50,000_011,"(46.76567234127411, 29.06965917939966, 0)","(32, 32)",0.015705353811177464,0,padded,False,"(2, 3)"
51,000_012,"(62.05062250218906, 29.004692421959643, 0)","(32, 32)",0.03773686339947634,0,padded,False,"(2, 3)"
52,000_021,"(45.203418119901734, 29.19960129348623, 0)","(32, 32)",0.13504923673699598,0,padded,False,"(2, 3)"
53,000_022,"(38.460796453058485, 30.402228136443078, 0)","(32, 32)",0.03613366242754682,0,padded,False,"(2, 3)"
54,000_112,"(39.41077207786711, 31.550602435894877, 0)","(32, 32)",0.03175464937104025,0,padded,False,"(2, 3)"
55,000_122,"(76.12618246558348, 35.642208506667025, 0)","(32, 64)",0.354692424954279,0,padded,False,"(2, 3)"
56,001_002,"(54.179214856557124, 28.108068423968472, 0)","(32, 32)",0.04295504904595349,0,padded,False,"(2, 3)"
57,001_010,"(65.21588109526962, 24.49085268401977, 0)","(32, 32)",8.590754403920969e-10,-1,padded,False,"(2, 3)"
