,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
728,0112_2012,"(37.41408694898714, 52.92232795324092, 0)","(32, 32)",0.03514234470512382,0,extra_space_padded,False,"(2, 4)"
729,0112_2020,"(57.01409884016423, 51.201444708103764, 0)","(32, 32)",0.03981386618872466,0,extra_space_padded,False,"(2, 4)"
730,0112_2021,"(39.0065938566488, 53.21541509573564, 0)","(32, 32)",0.11882463095365314,0,extra_space_padded,False,"(2, 4)"
731,0112_2022,"(37.20330610584467, 54.17126780843133, 0)","(32, 32)",0.1024780026850574,0,extra_space_padded,False,"(2, 4)"
732,0112_2101,"(73.11384528532398, 51.86280023442239, 0)","(32, 32)",6.006253930465371e-10,-1,extra_space_padded,False,"(2, 4)"
733,0112_2102,"(49.18669874915686, 52.26159675281086, 0)","(32, 32)",3.377649797560144e-13,-1,extra_space_padded,False,"(2, 4)"
734,0112_2110,"(63.85080170959332, 50.90450044992, 0)","(32, 32)",0.062185283222341944,0,extra_space_padded,False,"(2, 4)"
735,0112_2111,"(36.44410433383545, 53.36315243269868, 0)","(32, 32)",0.1837757863338867,0,extra_space_padded,False,"(2, 4)"
736,0112_2112,"(31.178745611772662, 54.584327926226244, 0)","(32, 32)",0.16062859025061033,0,extra_space_padded,False,"(2, 4)"
737,0112_2120,"(46.359140743002065, 52.86952767149926, 0)","(32, 32)",0.027455427109083025,0,extra_space_padded,False,"(2, 4)"
738,0112_2121,"(40.648061128817325, 55.38277827240285, 0)","(32, 32)",0.1455619661884184,0,extra_space_padded,False,"(2, 4)"
739,0112_2122,"(47.59658176478943, 55.12009295399427, 0)","(32, 32)",0.14311457206424485,0,extra_space_padded,False,"(2, 4)"
740,0112_2201,"(35.237563544369955, 52.15346755042754, 0)","(32, 32)",0.08202940124673497,0,extra_space_padded,False,"(2, 4)"
741,0112_2202,"(42.893249564303076, 53.49993665603294, 0)","(32, 32)",0.08084502119206134,0,extra_space_padded,False,"(2, 4)"
742,0112_2210,"(47.48974258375773, 53.13850233167467, 0)","(32, 32)",0.04529965268055169,0,extra_space_padded,False,"(2, 4)"
743,0112_2211,"(35.74035313343509, 55.53977680589314, 0)","(32, 32)",0.24819665471563032,0,extra_space_padded,False,"(2, 4)"
744,0112_2212,"(42.953683721888815, 55.693575291388996, 0)","(32, 32)",0.10896266176180541,0,extra_space_padded,False,"(2, 4)"
745,0112_2220,"(38.09746901067486, 54.423926169248894, 0)","(32, 32)",0.19977667584288705,0,extra_space_padded,False,"(2, 4)"
746,0112_2221,"(37.12921600150814, 55.95632896527745, 0)","(32, 32)",0.22844672075089517,0,extra_space_padded,False,"(2, 4)"
747,0112_2222,"(36.52928778277481, 60.44814142151134, 0)","(32, 32)",0.6223775595350943,0,extra_space_padded,False,"(2, 4)"
748,0121_0122,"(33.58560225669918, 52.493569386782305, 0)","(32, 32)",0.0500540249208793,0,extra_space_padded,False,"(2, 4)"
749,0121_0202,"(48.102406476186395, 49.48640967636103, 0)","(32, 32)",0.08031705345704841,0,extra_space_padded,False,"(2, 4)"
750,0121_0211,"(43.76547326497857, 50.4522685673304, 0)","(32, 32)",0.04234642964273212,0,extra_space_padded,False,"(2, 4)"
751,0121_0212,"(42.16462643212913, 53.956165208305464, 0)","(32, 32)",0.028040958826206146,0,extra_space_padded,False,"(2, 4)"
752,0121_0221,"(36.64769109676144, 51.596436420653376, 0)","(32, 32)",0.08048894153794382,0,extra_space_padded,False,"(2, 4)"
753,0121_0222,"(28.513404266539805, 53.81876568028921, 0)","(32, 32)",0.02636892733322677,0,extra_space_padded,False,"(2, 4)"
754,0121_1012,"(74.50881263144358, 51.56450087366257, 0)","(32, 32)",0.03934423443056033,0,extra_space_padded,False,"(2, 4)"
755,0121_1021,"(55.469769511814974, 51.78502437573872, 0)","(32, 32)",0.0870921013314474,0,extra_space_padded,False,"(2, 4)"
756,0121_1022,"(49.43928053536803, 51.8287940242998, 0)","(32, 32)",0.1234806162300763,0,extra_space_padded,False,"(2, 4)"
757,0121_1102,"(54.30612100433319, 50.632304306053186, 0)","(32, 32)",0.019719265628848306,0,extra_space_padded,False,"(2, 4)"
758,0121_1111,"(34.3432896941402, 50.568008447147264, 0)","(32, 32)",0.0750632539042079,0,extra_space_padded,False,"(2, 4)"
759,0121_1112,"(45.52181389267955, 52.338944992172095, 0)","(32, 32)",0.028251424661320454,0,extra_space_padded,False,"(2, 4)"
760,0121_1121,"(41.02044556537067, 53.125561336223775, 0)","(32, 32)",0.03053482041479458,0,extra_space_padded,False,"(2, 4)"
761,0121_1122,"(35.38784132090165, 55.32887188998035, 0)","(32, 32)",0.2288551023921269,0,extra_space_padded,False,"(2, 4)"
762,0121_1202,"(43.957532006473215, 52.91242496949916, 0)","(32, 32)",0.0940728737390226,0,extra_space_padded,False,"(2, 4)"
763,0121_1211,"(39.14093787783368, 53.12592310822381, 0)","(32, 32)",0.1612463368929699,0,extra_space_padded,False,"(2, 4)"
764,0121_1212,"(38.50031520044813, 54.99977282793048, 0)","(32, 32)",0.0863440126469238,0,extra_space_padded,False,"(2, 4)"
765,0121_1220,"(44.35670138024835, 52.55953065560477, 0)","(32, 32)",0.05114515863180569,0,extra_space_padded,False,"(2, 4)"
766,0121_1221,"(35.559954141581, 55.68827585475868, 0)","(32, 32)",0.21601320444047134,0,extra_space_padded,False,"(2, 4)"
767,0121_1222,"(45.16099420997506, 58.03162360101636, 0)","(32, 32)",0.2780627022290849,0,extra_space_padded,False,"(2, 4)"
768,0121_2012,"(59.43121310036714, 51.95801167740145, 0)","(32, 32)",0.021766028320193195,0,extra_space_padded,False,"(2, 4)"
769,0121_2020,"(45.9062568376699, 49.80700100419646, 0)","(32, 32)",0.0714125474114526,0,extra_space_padded,False,"(2, 4)"
770,0121_2021,"(43.76177603178016, 52.07185658662811, 0)","(32, 32)",0.15598119115121098,0,extra_space_padded,False,"(2, 4)"
771,0121_2022,"(35.742696118628835, 54.915188857647784, 0)","(32, 32)",0.16050473915960636,0,extra_space_padded,False,"(2, 4)"
